Designator,Mid X,Mid Y,Rotation,Layer
BZ1,114.35,-65.0,180.0,bottom
C1,138.4,-72.2,90.0,bottom
C10,140.9,-61.1,0.0,top
C11,112.9,-87.1,270.0,top
C14,140.3,-84.0,90.0,top
C15,112.6,-69.5,180.0,top
C16,111.5,-79.0,0.0,top
C18,103.4,-72.2,180.0,bottom
C19,111.5,-64.5,0.0,top
C2,126.4375,-72.6,180.0,top
C20,111.8,-84.4,180.0,top
C21,101.5375,-90.3,0.0,bottom
C23,113.8,-58.5,180.0,top
C3,140.0,-51.4375,270.0,top
C4,135.3,-57.5,0.0,bottom
C5,127.5,-65.1,90.0,top
C6,141.3625,-63.6,180.0,bottom
C7,132.4625,-61.3,0.0,top
C8,139.7625,-78.0,0.0,top
C9,128.1375,-75.0,0.0,top
D1,117.9,-66.0,270.0,top
D2,118.4,-60.6,0.0,top
D3,107.1,-73.9,90.0,top
D4,107.1,-91.9,90.0,top
J1,154.55,-50.5,90.0,top
J10,119.55,-77.5,90.0,top
J11,154.55,-65.6,90.0,top
J13,130.0,-94.55,0.0,top
J2,110.5,-92.25,180.0,top
J3,150.0,-92.0,180.0,top
J4,116.5,-94.62,0.0,top
J5,144.0,-94.55,0.0,top
J6,106.325,-50.5,90.0,top
J7,134.75,-41.975,180.0,top
J8,148.55,-66.2,90.0,top
J9,154.55,-79.8,90.0,top
R1,138.0,-66.5,90.0,bottom
R2,112.1,-42.9,0.0,bottom
R22,121.2375,-66.2,180.0,top
R23,129.4,-66.5,270.0,bottom
R24,129.4,-70.2,270.0,bottom
R3,139.8,-89.7125,270.0,bottom
R31,118.4,-58.8,0.0,top
R32,107.1,-70.4,270.0,top
R33,107.1,-88.3,270.0,top
R34,144.8,-67.6,90.0,top
R35,143.9,-64.0,270.0,top
R36,127.0,-89.5875,270.0,bottom
R37,129.0,-89.6,270.0,bottom
R38,131.0,-89.6,270.0,bottom
R39,133.0,-89.7125,270.0,bottom
R4,140.4,-59.9375,90.0,bottom
R5,121.6,-78.3,90.0,bottom
R6,150.7,-81.0,90.0,bottom
R7,123.2875,-86.8,0.0,bottom
SW1,143.75,-51.9,0.0,bottom
U1,135.2,-69.2,180.0,top
U10,122.91,-89.5,180.0,bottom
U16,130.0,-53.3,0.0,top
U17,121.2,-63.25,0.0,top
U2,137.85,-60.3375,90.0,bottom
U22,119.825,-51.0,0.0,bottom
U23,108.945,-40.5,90.0,top
U3,116.5,-88.07,180.0,top
U4,144.0,-87.9,180.0,top
U5,102.5,-67.1,0.0,top
U6,102.5,-85.0,0.0,top
U7,116.5,-49.0,180.0,top
U8,136.29,-89.65,180.0,bottom
